name,url,tvg-id,tvg-name,tvg-logo,group-title
免費訂閲：請勿販賣...,https://material.1989.click/v/302.mp4,,,https://material.1989.click/logo/温馨提示.png,
維護時間：2026-8-21 #佛系維護...,https://material.1989.click/v/301.mp4,,,https://material.1989.click/logo/温馨提示.png,
睛彩广场舞「Relay」,https://iptv.1989.click/cn/xehywj?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/睛彩广场舞.webp,
睛彩青少「Relay」,https://iptv.1989.click/cn/9n8xxv?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/睛彩青少.webp,
睛彩竞技「Relay」,https://iptv.1989.click/cn/ec6gpr?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/睛彩竞技.webp,
睛彩篮球「Relay」,https://iptv.1989.click/cn/wbzv4y?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/睛彩篮球.webp,
CCTV 1 綜合「Relay」,https://iptv.1989.click/cn/dx2ahd?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/CCTV1.webp,
CCTV 2 財經「Relay」,https://iptv.1989.click/cn/m4vbkf?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/CCTV2.webp,
CCTV 3 綜藝「Relay」,https://iptv.1989.click/cn/p77rqu?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/CCTV3.webp,
CCTV 4 中文國際「Relay」,https://iptv.1989.click/cn/6tjqjk?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/CCTV4.webp,
CCTV 5 體育「Relay」,https://iptv.1989.click/cn/8zhu3y?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/CCTV5.webp,
CCTV 5+ 體育賽事「Relay」,https://iptv.1989.click/cn/4nbggs?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/CCTV5%2B.webp,
CCTV 6 電影「Relay」,https://iptv.1989.click/cn/anzqk5?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/CCTV6.webp,
CCTV 7 國防軍事「Relay」,https://iptv.1989.click/cn/qsc4gx?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/CCTV7.webp,
CCTV 8 電視劇「Relay」,https://iptv.1989.click/cn/6f887t?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/CCTV8.webp,
CCTV 9 記錄「Relay」,https://iptv.1989.click/cn/kfsfds?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/CCTV9.webp,
CCTV 10 科教「Relay」,https://iptv.1989.click/cn/vk98kw?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/CCTV10.webp,
CCTV 11 戲曲「Relay」,https://iptv.1989.click/cn/4nzz5j?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/CCTV11.webp,
CCTV 12 社會與法「Relay」,https://iptv.1989.click/cn/cu3h2h?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/CCTV12.webp,
CCTV 13 新聞「Relay」,https://iptv.1989.click/cn/jtwuvc?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/CCTV13.webp,
CCTV 14 少兒「Relay」,https://iptv.1989.click/cn/6ke8ku?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/CCTV14.webp,
CCTV 15 音樂「Relay」,https://iptv.1989.click/cn/r66zx7?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/CCTV15.webp,
CCTV 16 奧林匹克「Relay」,https://iptv.1989.click/cn/cx5n35?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/CCTV16.webp,
CCTV 17 農村農業「Relay」,https://iptv.1989.click/cn/687fru?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/CCTV17.webp,
北京衛視「Relay」,https://iptv.1989.click/cn/3peutx?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/北京卫视.webp,
東方衛視「Relay」,https://iptv.1989.click/cn/dnd8mf?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/东方卫视.webp,
廣東衛視「Relay」,https://iptv.1989.click/cn/rkrwqu?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/广东卫视.webp,
浙江衛視「Relay」,https://iptv.1989.click/cn/p2m6g8?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/浙江卫视.webp,
江蘇衛視「Relay」,https://iptv.1989.click/cn/kwm6mw?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/江苏卫视.webp,
湖南衛視「Relay」,https://iptv.1989.click/cn/6y88u6?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/湖南卫视.webp,
四川衛視「Relay」,https://iptv.1989.click/cn/ra4n6s?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/四川卫视.webp,
鳳凰衛視·中文「72小时回看」,https://iptv.1989.click/phoenix/dykrkg?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/凤凰中文台.webp,
鳳凰衛視·資訊「72小时回看」,https://iptv.1989.click/phoenix/6qnsnq?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/凤凰资讯台.webp,
鳳凰衛視·香港「72小时回看」,https://iptv.1989.click/phoenix/s4x238?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/凤凰香港台.webp,
翡翠台「24小时回看」,https://iptv.1989.click/hk/smz9te?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/翡翠台.webp,
無綫新聞台,https://iptv.1989.click/hk/mvx9dv?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/無綫新聞台.webp,
明珠台,https://iptv.1989.click/hk/fqygrz?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/明珠台.webp,
TVB Plus,https://iptv.1989.click/hk/fycvep?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/TVB%20Plus.webp,
美亞電影台,https://iptv.1989.click/hk/uqewfa?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/美亞電影台.webp,
PopC,https://iptv.1989.click/hk/kfyduk?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/PopC.webp,
ViuTV,https://iptv.1989.click/hk/zuuqxe?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/ViuTV.webp,
ViuTVsix,https://iptv.1989.click/hk/mkwq9k?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/ViuTVsix.webp,
Now直播台,https://iptv.1989.click/hk/b8aphh?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/Now直播台.webp,
Now新聞台,https://iptv.1989.click/hk/qttczf?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/Now新聞台.webp,
Now財經台,https://iptv.1989.click/hk/abppf5?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/Now財經台.webp,
Now Sports 精選,https://iptv.1989.click/hk/sfjcgz?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/Now%20Sports%20精選.webp,
Now Sports 英超,https://iptv.1989.click/hkg/f9v47t?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/Now%20Sports%20英超2台.webp,
雷霆881「電台」,https://iptv.1989.click/hkg/z3k9te?token=099c9d230a79bcc2e874231d7c20ffc7cab73acfaf545051,,,https://iptv.1989.click/logo/商業電台%20雷霆881.webp,
